round,match_date,kickoff_at_utc,team1,team2,score_team1,score_team2,group_name,ground
Round of 16,2026-07-04,2026-07-04T21:00:00Z,Paraguay,France,0,1,,Philadelphia
Round of 16,2026-07-04,2026-07-04T17:00:00Z,Canada,Morocco,0,3,,Houston
Round of 16,2026-07-05,2026-07-05T20:00:00Z,Brazil,Norway,1,2,,New York/New Jersey (East Rutherford)
Round of 16,2026-07-05,2026-07-06T00:00:00Z,Mexico,England,2,3,,Mexico City
Round of 16,2026-07-06,2026-07-06T19:00:00Z,Portugal,Spain,0,1,,Dallas (Arlington)
Round of 16,2026-07-06,2026-07-07T00:00:00Z,USA,Belgium,1,4,,Seattle
Round of 16,2026-07-07,2026-07-07T16:00:00Z,Argentina,Egypt,3,2,,Atlanta
Round of 16,2026-07-07,2026-07-07T20:00:00Z,Switzerland,Colombia,0,0,,Vancouver
Quarter-final,2026-07-09,2026-07-09T20:00:00Z,France,Morocco,2,0,,Boston (Foxborough)
Quarter-final,2026-07-10,2026-07-10T19:00:00Z,Spain,Belgium,2,1,,Los Angeles (Inglewood)
Quarter-final,2026-07-11,2026-07-11T21:00:00Z,Norway,England,1,1,,Miami (Miami Gardens)
Quarter-final,2026-07-11,2026-07-12T01:00:00Z,Argentina,Switzerland,1,1,,Kansas City
Semi-final,2026-07-14,2026-07-14T19:00:00Z,France,Spain,0,2,,Dallas (Arlington)
Semi-final,2026-07-15,2026-07-15T19:00:00Z,England,Argentina,1,2,,Atlanta
Match for third place,2026-07-18,2026-07-18T21:00:00Z,France,England,4,6,,Miami (Miami Gardens)
Final,2026-07-19,2026-07-19T19:00:00Z,Spain,Argentina,0,0,,New York/New Jersey (East Rutherford)
